Variable Name,Description,Type,Variable Scope,Mode 1 (131:0)
Dark/bg/accent,,COLOR,ALL_SCOPES,→ primary/600 ([object Object])
Dark/bg/accent-subtle,,COLOR,ALL_SCOPES,→ 20% ([object Object])
Dark/bg/page,,COLOR,ALL_SCOPES,→ cool/950 ([object Object])
Dark/bg/strong,,COLOR,ALL_SCOPES,→ cool/800 ([object Object])
Dark/bg/subtle,,COLOR,ALL_SCOPES,→ cool/900 ([object Object])
Dark/border/strong,,COLOR,ALL_SCOPES,→ cool/400 ([object Object])
Dark/border/subtle,,COLOR,ALL_SCOPES,→ cool/800 ([object Object])
Dark/fg/accent,,COLOR,ALL_SCOPES,→ primary/500 ([object Object])
Dark/fg/accent-light,,COLOR,ALL_SCOPES,→ primary/50 ([object Object])
Dark/fg/accent-subtle,,COLOR,ALL_SCOPES,→ primary/300 ([object Object])
Dark/fg/muted,,COLOR,ALL_SCOPES,→ cool/500 ([object Object])
Dark/fg/neutral,,COLOR,ALL_SCOPES,→ cool/50 ([object Object])
Dark/fg/subtle,,COLOR,ALL_SCOPES,→ cool/400 ([object Object])
Light/bg/accent,,COLOR,ALL_SCOPES,→ primary/500 ([object Object])
Light/bg/accent-subtle,,COLOR,ALL_SCOPES,→ 20% ([object Object])
Light/bg/page,,COLOR,ALL_SCOPES,→ warm/50 ([object Object])
Light/bg/strong,,COLOR,ALL_SCOPES,→ warm/50 ([object Object])
Light/bg/subtle,,COLOR,ALL_SCOPES,→ white ([object Object])
Light/border/strong,,COLOR,ALL_SCOPES,→ warm/400 ([object Object])
Light/border/subtle,,COLOR,ALL_SCOPES,→ warm/100 ([object Object])
Light/fg/accent,,COLOR,ALL_SCOPES,→ primary/500 ([object Object])
Light/fg/accent-light,,COLOR,ALL_SCOPES,→ primary/50 ([object Object])
Light/fg/accent-subtle,,COLOR,ALL_SCOPES,→ primary/700 ([object Object])
Light/fg/muted,,COLOR,ALL_SCOPES,→ cool/600 ([object Object])
Light/fg/neutral,,COLOR,ALL_SCOPES,→ cool/900 ([object Object])
Light/fg/subtle,,COLOR,ALL_SCOPES,→ cool/500 ([object Object])